baseline,metric,patheom_point,baseline_point,difference_patheom_minus_baseline,ci_level,ci_lower,ci_upper,ci_excludes_zero,direction
convnext_tiny,roc_auc,0.954338717321296,0.8995046413530686,0.054834075968227425,0.95,0.05184943230123139,0.05758999361436702,True,PathEOM_higher_is_better
convnext_tiny,pr_auc,0.9600421857409934,0.9001454124780122,0.05989677326298126,0.95,0.05679758660640264,0.06306092709500419,True,PathEOM_higher_is_better
convnext_tiny,accuracy,0.88885498046875,0.77630615234375,0.112548828125,0.95,0.10827560424804687,0.1168212890625,True,PathEOM_higher_is_better
convnext_tiny,balanced_accuracy,0.8888351416324152,0.7762419880772286,0.11259315355518662,0.95,0.10831918863631868,0.11686630696598077,True,PathEOM_higher_is_better
convnext_tiny,positive_f1,0.8833962989050393,0.7366719356229343,0.14672436328210503,0.95,0.1411436065523458,0.1520524199989274,True,PathEOM_higher_is_better
convnext_tiny,weighted_f1,0.8886130938155858,0.7711358319768277,0.11747726183875817,0.95,0.11305190758265542,0.12192184436165132,True,PathEOM_higher_is_better
convnext_tiny,sensitivity,0.8424009281309153,0.6260609391219393,0.216339989008976,0.95,0.20901263967759665,0.22323990962935825,True,PathEOM_higher_is_better
convnext_tiny,specificity,0.935269355133915,0.9264230370325178,0.008846318101397133,0.95,0.004209627234457947,0.013421999877981872,True,PathEOM_higher_is_better
convnext_tiny,mcc,0.7810699414608782,0.579274874540967,0.20179506691991111,0.95,0.19365148876857233,0.21023576222303283,True,PathEOM_higher_is_better


